index,gene_id
305,ENSMUSG00000001751
306,ENSMUSG00000001755
307,ENSMUSG00000001761
308,ENSMUSG00000001763
309,ENSMUSG00000001767
310,ENSMUSG00000001768
311,ENSMUSG00000001773
312,ENSMUSG00000001774
313,ENSMUSG00000001783
314,ENSMUSG00000001785
315,ENSMUSG00000001786
316,ENSMUSG00000001794
317,ENSMUSG00000001802
318,ENSMUSG00000001804
319,ENSMUSG00000001815
320,ENSMUSG00000001819
321,ENSMUSG00000001823
322,ENSMUSG00000001827
323,ENSMUSG00000001829
324,ENSMUSG00000001833
325,ENSMUSG00000001844
326,ENSMUSG00000001847
327,ENSMUSG00000001855
328,ENSMUSG00000001864
329,ENSMUSG00000001865
330,ENSMUSG00000001870
331,ENSMUSG00000001891
332,ENSMUSG00000001901
333,ENSMUSG00000001909
334,ENSMUSG00000001910
335,ENSMUSG00000001911
336,ENSMUSG00000001918
337,ENSMUSG00000001924
338,ENSMUSG00000001930
339,ENSMUSG00000001942
340,ENSMUSG00000001943
341,ENSMUSG00000001946
342,ENSMUSG00000001948
343,ENSMUSG00000001962
344,ENSMUSG00000001964
345,ENSMUSG00000001983
346,ENSMUSG00000001985
347,ENSMUSG00000001986
348,ENSMUSG00000001988
349,ENSMUSG00000001995
350,ENSMUSG00000001998
351,ENSMUSG00000001999
352,ENSMUSG00000002006
353,ENSMUSG00000002007
354,ENSMUSG00000002010
355,ENSMUSG00000002012
356,ENSMUSG00000002014
357,ENSMUSG00000002015
358,ENSMUSG00000002017
359,ENSMUSG00000002020
360,ENSMUSG00000002028
361,ENSMUSG00000002031
362,ENSMUSG00000002032
363,ENSMUSG00000002033
364,ENSMUSG00000002043
365,ENSMUSG00000002052
366,ENSMUSG00000002055
367,ENSMUSG00000002057
368,ENSMUSG00000002058
369,ENSMUSG00000002059
370,ENSMUSG00000002064
371,ENSMUSG00000002068
372,ENSMUSG00000002076
373,ENSMUSG00000002083
374,ENSMUSG00000002100
375,ENSMUSG00000002102
376,ENSMUSG00000002103
377,ENSMUSG00000002104
378,ENSMUSG00000002105
379,ENSMUSG00000002107
380,ENSMUSG00000002108
381,ENSMUSG00000002109
382,ENSMUSG00000002111
383,ENSMUSG00000002129
384,ENSMUSG00000002147
385,ENSMUSG00000002190
386,ENSMUSG00000002204
387,ENSMUSG00000002205
388,ENSMUSG00000002210
389,ENSMUSG00000002221
390,ENSMUSG00000002222
391,ENSMUSG00000002227
392,ENSMUSG00000002228
393,ENSMUSG00000002233
394,ENSMUSG00000002240
395,ENSMUSG00000002249
396,ENSMUSG00000002250
397,ENSMUSG00000002257
398,ENSMUSG00000002265
399,ENSMUSG00000002266
400,ENSMUSG00000002274
401,ENSMUSG00000002279
402,ENSMUSG00000002280
403,ENSMUSG00000002289
404,ENSMUSG00000002297
405,ENSMUSG00000002307
406,ENSMUSG00000002308
407,ENSMUSG00000002319
408,ENSMUSG00000002320
409,ENSMUSG00000002324
410,ENSMUSG00000002325
411,ENSMUSG00000002326
412,ENSMUSG00000002329
413,ENSMUSG00000002332
414,ENSMUSG00000002341
415,ENSMUSG00000002342
416,ENSMUSG00000002343
417,ENSMUSG00000002345
418,ENSMUSG00000002346
419,ENSMUSG00000002365
420,ENSMUSG00000002372
421,ENSMUSG00000002379
422,ENSMUSG00000002384
423,ENSMUSG00000002393
424,ENSMUSG00000002395
425,ENSMUSG00000002396
426,ENSMUSG00000002409
427,ENSMUSG00000002413
428,ENSMUSG00000002416
429,ENSMUSG00000002428
430,ENSMUSG00000002455
431,ENSMUSG00000002458
432,ENSMUSG00000002459
433,ENSMUSG00000002475
434,ENSMUSG00000002477
435,ENSMUSG00000002486
